"x" "y" "z"
"405" "14" 0.72 16.56
"406" "14" 0.72 17.28
"407" "14" 0.72 18
"408" "14" 0.72 18.72
"409" "14" 0.72 19.44
"410" "14" 0.72 20.16
"411" "14" 0.72 20.88
"412" "14" 0.72 21.6
"413" "14" 0.72 22.32
"414" "14" 0.72 23.04
"415" "14" 0.72 23.76
"416" "14" 0.72 24.48
"417" "14" 0.72 25.2
"418" "14" 0.72 25.92
"419" "14" 0.72 26.64
"420" "14" 0.72 27.36
"421" "14" 0.72 28.08
"422" "14" 0.72 28.8
"423" "14" 0.72 29.52
"424" "14" 0.72 30.24
"425" "14" 0.72 30.96
"426" "14" 0.72 31.68
"427" "14" 0.72 32.4
"428" "14" 0.72 33.12
"429" "14" 0.72 33.84
"430" "14" 0.72 34.56
"431" "14" 0.72 35.28
"432" "14" 0.72 36
"433" "14" 0.72 36.72
"434" "14" 0.72 37.44
"435" "14" 0.72 38.16
"436" "14" 0.72 38.88
"437" "14" 0.72 39.6
"438" "14" 0.72 40.32
"439" "14" 0.72 41.04
"440" "14" 0.72 41.76
"441" "14" 0.240000000000002 42
"442" "15" 0.72 0.72
"443" "15" 0.72 1.44
"444" "15" 0.72 2.16
"445" "15" 0.72 2.88
"446" "15" 0.72 3.6
"447" "15" 0.72 4.32
"448" "15" 0.72 5.04
"449" "15" 0.72 5.76
"450" "15" 0.72 6.48
"451" "15" 0.72 7.2
"452" "15" 0.72 7.92
"453" "15" 0.72 8.64
"454" "15" 0.72 9.36
"455" "15" 0.72 10.08
"456" "15" 0.72 10.8
"457" "15" 0.72 11.52
"458" "15" 0.72 12.24
"459" "15" 0.72 12.96
"460" "15" 0.72 13.68
"461" "15" 0.72 14.4
"462" "15" 0.72 15.12
"463" "15" 0.72 15.84
"464" "15" 0.72 16.56
"465" "15" 0.72 17.28
"466" "15" 0.72 18
"467" "15" 0.72 18.72
"468" "15" 0.72 19.44
"469" "15" 0.72 20.16
"470" "15" 0.72 20.88
"471" "15" 0.72 21.6
"472" "15" 0.72 22.32
"473" "15" 0.72 23.04
